@NicolasMaduro,460533251396743168,Nicolás Maduro,"Presidente de Venezuela, electo en abril de 2013 con 7,58 millones de votos (50,61%). Durante el gobierno de Chávez ocupó los cargos de canciller, vicepresidente de Venezuela, presidente de la Asamblea Nacional y diputado. President of Venezuela. Elected on April 2013 with 7,58 millions votes (50,61%). During Chavez goverment he was appointed to different positions like Foreign Minister, Vicepresident of Venezuela, president of the National Assembly and Congressman.",01_Nicolas-Maduro.png
@dcabellor,460563278452629504,Diosdado Cabello,"Presidente de la Asamblea Nacional. Fue vicepresidente de Venezuela y gobernador del estado Miranda. Ha sido titular de los ministerios de Obras Públicas, Interior y Justicia e Infraestructura. Militar que participó en la intentona de golpe de Estado liderada por Chávez en febrero de 1992. President of the National Assembly. Former Vicepresident of Venezuela and Miranda State Governor. He had served as Minister of Public Works, Homeland and Justice and Infraestructure. Member of the armed forces, he was involved in Chavez's aborted coup in 1992.",02_Diosdado-Cabello.png
@vielmaestachira,460563502176804864,José Vielma Mora,Gobernador del estado Táchira. Fue Superintendente del  Servicio Nacional Integrado de Administración Aduanera y Tributaria (SENIAT). Militar que participó en la intentona de golpe de Estado liderada por Chávez en febrero de 1992.Tachira State Governor. Former SENIAT (Tax Agency) Superintendent. He participated in Chavez's 1992 coup.,04_José-Vielma-Mora.png
@JauaMiranda,460563716539314176,Elías Jaua,"Canciller. Fue vicepresidente de Venezuela, ministro de Agricultura y Tierras y ministro de la Secretaría de la Presidencia. Foreign Minister. Former vicepresident of Venezuela. Minister of Agriculture and Minister of Presidency",05_Elías-Jaua.png
@RodriguezT_MIJP,460564022283079680,Miguel Rodríguez Torres,Ministro del Interior y director del Servicio Bolivariano de Inteligencia Nacional (SEBIN). Militar que participó en la intentona de golpe de Estado liderada por Chávez en febrero de 1992. Homeland Minister. Director of the Intelligency Agency (SEBIN). Participated in Chavez's 1992 coup.,06_Miguel-Rodríguez-Torres.png
@AmeliachPSUV,460564249886986240,Francisco Ameliach,Gobernador del estado Carabobo. Fue ministro del Despacho de la Presidencia y presidente de la Asamblea Nacional. Militar. Carabobo State Governor. Former Minister of Presidency and president of the National Assembly ,07_Francisco-Ameliach.png
@gestionperfecta,460564440174174208,Carmen Teresa Meléndez,Ministra de la Defensa. Fue ministra del Despacho de la Presidencia y Seguimiento de la Gestión del Gobierno. Militar. Defense Minister. Former Minister of Presidency,08_Carmen-Teresa-Meléndez.png
@psuvaristobulo,460585688103014400,Aristóbulo Istúriz,"Gobernador del estado Anzoátegui. Fue diputado, ministro de Educación y alcalde del municipio Libertador de Caracas. Anzoategui State Governor, Former Congressman, Education Minister and Mayor of Libertador Municipality in Caracas.",03_Aristóbulo-Istúriz.png
